Escrutado;Pilar;Indalecio
24.71;64.47;31.84
27.06;65.45;32.55
32.94;61.34;25.10
37.65;63.92;28.24
42.35;64.69;28.47
49.41;65.18;33.82
50.59;65.52;33.48
51.76;66.04;30.78
52.94;66.03;32.97
54.12;66.19;32.81
56.47;66.45;32.55
58.82;67.11;31.89
62.35;67.56;31.08
65.88;67.69;31.31
72.94;67.76;31.24
74.12;67.81;30.87
78.82;67.66;31.34
81.18;67.82;31.18
82.35;67.78;31.22
83.53;67.80;31.20
87.06;68.57;31.43
89.41;68.06;31.94
91.76;67.99;32.01
92.94;68.01;31.99
94.12;68.05;31.95
95.29;68.25;31.75
96.47;68.47;31.53
97.65;68.57;31.43
98.82;68.65;31.35
100;67.90;32.10
